Clone class 1, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 96, 4 fragments, nominal size 17 lines, similarity 70%
Clone class 97, 2 fragments, nominal size 40 lines, similarity 80%
Clone class 98, 2 fragments, nominal size 11 lines, similarity 81%
Clone class 99, 2 fragments, nominal size 38 lines, similarity 76%
Clone class 100, 2 fragments, nominal size 21 lines, similarity 100%
Clone class 101, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 102, 2 fragments, nominal size 32 lines, similarity 96%
Clone class 103, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 104, 2 fragments, nominal size 38 lines, similarity 79%
Clone class 105, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 106, 2 fragments, nominal size 10 lines, similarity 90%
Clone class 107, 2 fragments, nominal size 16 lines, similarity 75%
Clone class 108, 3 fragments, nominal size 19 lines, similarity 70%
Clone class 109, 2 fragments, nominal size 25 lines, similarity 76%
Clone class 110, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 111, 2 fragments, nominal size 16 lines, similarity 100%
Clone class 112, 2 fragments, nominal size 18 lines, similarity 94%
Clone class 113, 2 fragments, nominal size 12 lines, similarity 83%
Clone class 114, 8 fragments, nominal size 17 lines, similarity 70%
Clone class 115, 3 fragments, nominal size 14 lines, similarity 71%
Clone class 116, 2 fragments, nominal size 11 lines, similarity 83%
Clone class 117, 2 fragments, nominal size 12 lines, similarity 83%
Clone class 118, 4 fragments, nominal size 11 lines, similarity 75%
Clone class 119, 2 fragments, nominal size 15 lines, similarity 73%
Clone class 120, 2 fragments, nominal size 15 lines, similarity 76%
Clone class 121, 26 fragments, nominal size 15 lines, similarity 72%
Clone class 122, 4 fragments, nominal size 11 lines, similarity 81%
Clone class 123, 4 fragments, nominal size 10 lines, similarity 100%
Clone class 124, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 125, 2 fragments, nominal size 16 lines, similarity 93%
Clone class 126, 3 fragments, nominal size 29 lines, similarity 70%
Clone class 127, 2 fragments, nominal size 13 lines, similarity 84%
Clone class 128, 2 fragments, nominal size 12 lines, similarity 83%
Clone class 129, 2 fragments, nominal size 20 lines, similarity 75%
Clone class 130, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 131, 3 fragments, nominal size 14 lines, similarity 85%
Clone class 132, 7 fragments, nominal size 10 lines, similarity 70%
Clone class 133, 4 fragments, nominal size 10 lines, similarity 80%
Clone class 134, 2 fragments, nominal size 23 lines, similarity 72%
Clone class 135, 2 fragments, nominal size 19 lines, similarity 78%
Clone class 136, 5 fragments, nominal size 16 lines, similarity 70%
Clone class 137, 4 fragments, nominal size 13 lines, similarity 76%
Clone class 138, 2 fragments, nominal size 15 lines, similarity 75%
Clone class 139, 2 fragments, nominal size 14 lines, similarity 92%
Clone class 140, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 141, 2 fragments, nominal size 13 lines, similarity 84%
Clone class 142, 3 fragments, nominal size 10 lines, similarity 70%
Clone class 143, 4 fragments, nominal size 19 lines, similarity 72%
Clone class 144, 2 fragments, nominal size 15 lines, similarity 100%
Clone class 145, 2 fragments, nominal size 14 lines, similarity 92%
Clone class 146, 2 fragments, nominal size 13 lines, similarity 78%
Clone class 147, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 148, 2 fragments, nominal size 55 lines, similarity 74%
Clone class 149, 4 fragments, nominal size 13 lines, similarity 73%
Clone class 150, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 151, 2 fragments, nominal size 16 lines, similarity 82%
Clone class 152, 2 fragments, nominal size 17 lines, similarity 88%
Clone class 153, 2 fragments, nominal size 17 lines, similarity 76%
Clone class 154, 4 fragments, nominal size 10 lines, similarity 70%
Clone class 155, 3 fragments, nominal size 17 lines, similarity 76%
Clone class 156, 3 fragments, nominal size 13 lines, similarity 92%
Clone class 157, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 158, 2 fragments, nominal size 44 lines, similarity 73%
Clone class 159, 2 fragments, nominal size 10 lines, similarity 100%
Clone class 160, 2 fragments, nominal size 114 lines, similarity 94%
Clone class 161, 2 fragments, nominal size 19 lines, similarity 78%
Clone class 162, 2 fragments, nominal size 11 lines, similarity 81%
Clone class 163, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 164, 2 fragments, nominal size 23 lines, similarity 100%
Clone class 165, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 166, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 167, 2 fragments, nominal size 12 lines, similarity 91%
Clone class 168, 2 fragments, nominal size 12 lines, similarity 83%
Clone class 169, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 170, 2 fragments, nominal size 13 lines, similarity 76%
Clone class 171, 2 fragments, nominal size 19 lines, similarity 94%
Clone class 172, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 173, 3 fragments, nominal size 10 lines, similarity 80%
Clone class 174, 3 fragments, nominal size 13 lines, similarity 73%
Clone class 175, 2 fragments, nominal size 52 lines, similarity 74%
Clone class 176, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 177, 2 fragments, nominal size 14 lines, similarity 92%
Clone class 178, 3 fragments, nominal size 10 lines, similarity 90%
Clone class 179, 2 fragments, nominal size 15 lines, similarity 80%
Clone class 180, 2 fragments, nominal size 24 lines, similarity 100%
Clone class 181, 2 fragments, nominal size 17 lines, similarity 77%
Clone class 182, 2 fragments, nominal size 17 lines, similarity 70%
Clone class 183, 2 fragments, nominal size 11 lines, similarity 72%
Clone class 184, 2 fragments, nominal size 25 lines, similarity 92%
Clone class 185, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 186, 2 fragments, nominal size 49 lines, similarity 88%
Clone class 187, 10 fragments, nominal size 10 lines, similarity 70%
Clone class 188, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 189, 3 fragments, nominal size 12 lines, similarity 83%
Clone class 190, 2 fragments, nominal size 14 lines, similarity 92%
Clone class 191, 8 fragments, nominal size 18 lines, similarity 73%
Clone class 192, 2 fragments, nominal size 11 lines, similarity 100%
Clone class 193, 4 fragments, nominal size 12 lines, similarity 76%
Clone class 194, 2 fragments, nominal size 13 lines, similarity 76%
Clone class 195, 2 fragments, nominal size 15 lines, similarity 73%
Clone class 196, 2 fragments, nominal size 10 lines, similarity 80%
Clone class 197, 2 fragments, nominal size 13 lines, similarity 84%
Clone class 198, 4 fragments, nominal size 13 lines, similarity 76%
Clone class 199, 5 fragments, nominal size 17 lines, similarity 70%
Clone class 200, 2 fragments, nominal size 18 lines, similarity 73%
Clone class 201, 3 fragments, nominal size 11 lines, similarity 81%
Clone class 202, 3 fragments, nominal size 11 lines, similarity 81%
Clone class 203, 2 fragments, nominal size 12 lines, similarity 100%
Clone class 204, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 205, 2 fragments, nominal size 12 lines, similarity 75%
Clone class 206, 2 fragments, nominal size 21 lines, similarity 85%
Clone class 207, 3 fragments, nominal size 11 lines, similarity 72%
Clone class 208, 3 fragments, nominal size 13 lines, similarity 71%
Clone class 209, 3 fragments, nominal size 10 lines, similarity 80%
Clone class 210, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 211, 2 fragments, nominal size 56 lines, similarity 89%
Clone class 212, 2 fragments, nominal size 11 lines, similarity 90%
Clone class 213, 2 fragments, nominal size 27 lines, similarity 79%
Clone class 214, 2 fragments, nominal size 18 lines, similarity 94%
Clone class 215, 2 fragments, nominal size 14 lines, similarity 85%
Clone class 216, 2 fragments, nominal size 15 lines, similarity 93%
Clone class 217, 2 fragments, nominal size 10 lines, similarity 90%
Clone class 218, 3 fragments, nominal size 15 lines, similarity 93%
Clone class 219, 2 fragments, nominal size 11 lines, similarity 75%
Clone class 220, 6 fragments, nominal size 20 lines, similarity 77%
